rank	target_slug	edge_count	in_count	is_title	is_date	example_source	example_edge_type	example_target_text
1	small-council	1	215	0	0	qyburn	MEMBER_OF	Small council
2	blacks	124	138	0	0	addam-velaryon	SWORN_TO	Blacks
3	greens	75	127	0	0	adrian-tarbeck	SWORN_TO	Greens
4	narrow-sea	1	120	0	0	assassination-of-tywin-lannister	DEFEATS	narrow sea
5	unsullied	17	68	0	0	black-fist	SWORN_TO	Unsullied
6	haunted-forest	2	55	0	0	clubfoot-karl	DIED_AT	Haunted forest (track_b: Died)
7	queens-men	18	43	0	0	alester-florent	SWORN_TO	Queen's men
8	age-of-heroes	1	43	0	0	battle-of-crookwater	FIGHTS_IN	Age of Heroes
9	crossroads-inn	2	39	0	0	masha-heddle	DIED_AT	Crossroads inn (track_b: Died)
10	dothraki-sea	21	35	0	0	caggo	BORN_AT	Dothraki Sea
11	dragons	1	32	0	0	dance-of-the-dragons	DEFEATS	dragons
12	flea-bottom	5	30	0	0	clayton-suggs	BORN_AT	Flea Bottom
13	crypt-of-winterfell	14	29	0	0	barthogan-stark	BURIED_AT	Crypt of Winterfell
14	ruby-ford	1	29	0	0	rhaegar-targaryen	DIED_AT	Ruby Ford (track_b: Died)
15	silent-sisters	4	26	0	0	alysanne-osgrey	SWORN_TO	Silent Sisters
16	ship	2	26	0	0	allaquo	SWORN_TO	Ship
17	299-ac	1	24	0	1	house-bolton	OVERLORD_OF	299 AC (track_b: Overlords)
18	betrothal	1	24	0	0	lyonel-baratheons-rebellion	DEFEATS	Betrothal
19	joffrey-i-baratheon	2	22	0	0	robert-i-baratheon	SUCCEEDS	Joffrey I Baratheon
20	queen-of-love-and-beauty	1	22	1	0	lord-ashfords-daughter	HOLDS_TITLE	Queen of Love and Beauty
21	vale	5	21	0	0	battle-in-the-waters-off-gulltown	DEFEATS	Vale
22	two-betrayers	2	21	0	0	hugh-hammer	SWORN_TO	Two Betrayers
23	cinnamon-wind	2	19	0	0	aemon-targaryen-son-of-maekar-i	DIED_AT	Cinnamon Wind
24	tower-of-joy	1	18	0	0	roberts-rebellion	FIGHTS_IN	Tower of joy
25	andal-invasion	3	17	0	0	battle-of-the-seven-stars	FIGHTS_IN	Andal invasion
26	lads	3	16	0	0	alysanne-blackwood	SWORN_TO	Lads
27	282-ac	1	16	0	1	house-baratheon	OVERLORD_OF	282 AC (track_b: Overlords)
28	moon-of-the-three-kings	1	16	0	0	riot-of-kings-landing-dance-of-the-dragons	DEFEATS	Moon of the Three Kings
29	300-ac	1	15	0	1	house-bolton	OVERLORD_OF	300 AC (track_b: Overlords)
30	winter-wolves	1	12	0	0	roderick-dustin	SWORN_TO	Winter Wolves
31	chatayas-brothel	6	11	0	0	alayaya	SWORN_TO	Chataya's brothel
32	happy-port	6	10	0	0	assadora	SWORN_TO	Happy Port
33	kings-men	5	10	0	0	andrew-estermont	SWORN_TO	King's men
34	the-wall	1	10	0	0	harma-dogshead	DIED_AT	The Wall (track_b: Died)
35	king-s-landing	1	9	0	0	bramm-of-blackhull	DIED_AT	King’s Landing (track_b: Died)
36	kings-of-the-reach	1	9	0	0	order-of-the-green-hand	SWORN_TO	Kings of the Reach
37	tommen-i-baratheon	7	8	0	0	boots	OWNS	Tommen I Baratheon
38	battle-of-the-red-fork	1	8	0	0	daven-lannister	FIGHTS_IN	Battle of the Red Fork
39	frozen-shore	1	8	0	0	great-walrus	BORN_AT	Frozen Shore
40	storm-kings	1	8	0	0	battle-of-six-kings	DEFEATS	Storm Kings
41	the-gate	1	8	0	0	izembaro	SWORN_TO	The Gate
42	house-flint	3	7	0	0	byam-flint	SWORN_TO	House Flint
43	iron-bank	1	7	0	0	bessaro-reyaan	SWORN_TO	Iron Bank
44	lady-of-coldmoat	1	7	1	0	rohanne-webber	HOLDS_TITLE	Lady of Coldmoat
45	lord-paramount-of-the-mander	8	6	1	0	bertrand-tyrell	HOLDS_TITLE	Lord Paramount of the Mander
46	bastards-boys	3	6	0	0	grunt	SWORN_TO	Bastard's Boys
47	house-fossoway	3	6	0	0	derrick-fossoway	SWORN_TO	House Fossoway
48	valyrian-peninsula	1	6	0	0	aurion	DIED_AT	Valyrian peninsula (track_b: Died)
49	wedding-of-aegon-iii-targaryen-and-jaehaera-targaryen	1	6	0	0	dance-of-the-dragons	DEFEATS	Wedding of Aegon III Targaryen and Jaehaera Targaryen
50	yunkish	1	6	0	0	crunch	DIED_AT	Yunkish (track_b: Died)
51	artys-arryn	3	5	0	0	robar-ii-royce	SUCCEEDS	Artys Arryn
52	drowned-men	3	5	0	0	emmond	SWORN_TO	Drowned men
53	battle-of-stonebridge	1	5	0	0	faith-militant-uprising	FIGHTS_IN	Battle of Stonebridge
54	lady-of-the-eyrie	1	5	1	0	jeyne-arryn	HOLDS_TITLE	Lady of the Eyrie
55	motherhouse-of-maris	1	5	0	0	jeyne-arryn	DIED_AT	Motherhouse of Maris (track_b: Died)
56	elephants	3	4	0	0	doniphos-paenymion	SWORN_TO	Elephants
57	last-greenseer	3	4	0	0	ash	SWORN_TO	last greenseer
58	battle-at-the-mander	1	4	0	0	roberts-rebellion	FIGHTS_IN	Battle at the Mander
59	battle-of-the-green-fork	1	4	0	0	bronn	FIGHTS_IN	Battle of the Green Fork
60	battle-of-the-whispering-wood	1	4	0	0	jaime-lannister	FIGHTS_IN	Battle of the Whispering Wood
61	pyntos	1	4	0	0	pynto	SWORN_TO	Pynto's
62	free-company	1	3	0	0	howard-bullock	SWORN_TO	Free Company
63	old-palace	1	3	0	0	house-martell	SEAT_OF	Old Palace
64	conflict-beyond-the-wall	6	2	0	0	attack-on-castle-black	FIGHTS_IN	Conflict beyond the Wall
65	great-hall	3	2	0	0	aerys-ii-targaryen	DIED_AT	Great Hall (track_b: Died)
66	daemon-blackfyre	1	2	0	0	house-blackfyre	FOUNDED	Daemon Blackfyre
67	kingdom-of-the-three-daughters	1	2	0	0	racallio-ryndoon	SWORN_TO	Kingdom of the Three Daughters
68	sarnori	1	2	0	0	mazor-alexi	CULTURE_OF	Sarnori
69	silent-sister	1	2	0	0	maris-baratheon	HOLDS_TITLE	Silent sister
70	lannister	15	1	0	0	battle-at-the-mummers-ford	DEFEATS	Lannister
71	the-vale	9	1	0	0	roland-i-arryn	DIED_AT	the Vale
72	cerelle-lannister	6	1	0	0	gerold-lannister	SUCCEEDS	Cerelle Lannister
73	drogos-khalasar	4	1	0	0	drogo	SWORN_TO	Drogo's khalasar
74	2-bc	3	1	0	1	house-baratheon	OVERLORD_OF	2 BC (track_b: Overlords)
75	thenn	3	1	0	0	sigorn	BORN_AT	Thenn
76	aegon-ii	1	1	0	0	dance-of-the-dragons	DEFEATS	Aegon II
77	aegon-iii	1	1	0	0	dance-of-the-dragons	DEFEATS	Aegon III
78	aegon-vi-targaryen	1	1	0	0	varys	SWORN_TO	Aegon VI Targaryen
79	blackfyre-rebellions	1	1	0	0	second-blackfyre-rebellion	FIGHTS_IN	Blackfyre Rebellions
80	house-farwynd	1	1	0	0	triston-farwynd	SWORN_TO	House Farwynd
81	joffrey-lydden	1	1	0	0	gerold-iii-lannister	SUCCEEDS	Joffrey Lydden
82	lord-caswell	1	1	0	0	lady-caswell	SPOUSE_OF	Lord Caswell
83	lord-commander	1	1	0	0	mutiny-at-castle-black	DEFEATS	Lord Commander
84	rhaenyra	1	1	0	0	dance-of-the-dragons	DEFEATS	Rhaenyra
85	sabitha-vypren	1	1	0	0	forrest-frey	SPOUSE_OF	Sabitha Vypren
86	sea-watch	1	1	0	0	tristimun	MEMBER_OF	Sea watch
87	unknown	321	0	0	0	addam-hightower	SPOUSE_OF	Unknown
88	the-citadel	83	0	0	0	abelon	SWORN_TO	The Citadel
89	extinct	37	0	0	0	house-amber	RULES	Extinct
90	son	31	0	0	0	alyn-tarbeck	PARENT_OF	Son
91	none	29	0	0	0	aerys-i-targaryen	PARENT_OF	None
92	sons	27	0	0	0	antario-jast	PARENT_OF	Sons
93	daughter	26	0	0	0	alysane-mormont	PARENT_OF	Daughter
94	captain	20	0	1	0	alvyn-sharp	HOLDS_TITLE	Captain
95	commander	13	0	0	0	bedwyck	HOLDS_TITLE	Commander
96	daughters	8	0	0	0	choq-choq	PARENT_OF	Daughters
97	two-daughters	8	0	0	0	corwyn-corbray	PARENT_OF	Two daughters
98	unborn-child	8	0	0	0	alyce-graceford	PARENT_OF	Unborn child
99	gate	7	0	0	0	big-brusco	SWORN_TO	Gate
100	deceased-husband	6	0	0	0	anya-waynwood	SPOUSE_OF	Deceased husband
101	deceased-wife	6	0	0	0	mors-umber	SPOUSE_OF	Deceased wife
102	golden-company-victory	6	0	0	0	fall-of-mistwood	DEFEATS	Golden Company victory
103	lord-marshal-of-the-mander	6	0	0	0	desmond-manderly	HOLDS_TITLE	Lord Marshal of the Mander
104	red-keep-kings-landing	6	0	0	0	aemon-targaryen-son-of-viserys-ii	BORN_AT	Red Keep, King's Landing
105	the-reach	6	0	0	0	house-ambrose	REGION_OF	The Reach
106	a-son	5	0	0	0	davos-dayne	PARENT_OF	A son
107	at-least-one-son	5	0	0	0	arlan-i-durrandon	PARENT_OF	At least one son
108	brother	5	0	0	0	clement	HOLDS_TITLE	Brother
109	father-is-oberyn-martell	5	0	0	0	nymeria-sand	PARENT_OF	(reverse) Father is Oberyn Martell
110	iron-throne-victory	5	0	0	0	burning-of-the-sept-of-remembrance	DEFEATS	Iron Throne victory
111	three-sons	5	0	0	0	ambrose-butterwell	PARENT_OF	Three sons
112	three-wives	5	0	0	0	horton-redfort	SPOUSE_OF	Three wives
113	1-unknown	4	0	0	0	cregan-karstark	SPOUSE_OF	1: Unknown
114	durrandon	4	0	0	0	battle-by-the-bloody-pool	DEFEATS	Durrandon
115	goodman	4	0	0	0	beck	HOLDS_TITLE	Goodman
116	khal-drogos-khalasar	4	0	0	0	doreah	SWORN_TO	Khal Drogo's khalasar
117	2-unknown	3	0	0	0	cregan-karstark	SPOUSE_OF	2: Unknown
118	300-ac-meereen	3	0	0	0	loyal-spear	DIED_AT	300 AC, Meereen
119	a-daughter	3	0	0	0	gerold-iii-lannister	HEIR_TO	A daughter
120	admiral	3	0	0	0	alyn-velaryon	HOLDS_TITLE	Admiral
121	at-least-four-sons	3	0	0	0	agnes-blackwood	PARENT_OF	At least four sons
122	balon-ix-greyjoy	3	0	0	0	euron-greyjoy	SUCCEEDS	Balon IX Greyjoy
123	bolton	3	0	0	0	battle-outside-the-gates-of-winterfell	DEFEATS	Bolton
124	cerwyn	3	0	0	0	cley-cerwyn	BORN_AT	Cerwyn (track_b: Born)
125	euron-iii-greyjoy	3	0	0	0	balon-greyjoy	SUCCEEDS	Euron III Greyjoy (track_b: Successor)
126	four-wives	3	0	0	0	jasper-wylde	SPOUSE_OF	Four wives
127	healing	3	0	0	0	ebrose	HOLDS_TITLE	healing
128	house-baratheon-of-storms-end	3	0	0	0	holy-hundred	SWORN_TO	House Baratheon of Storm's End (track_b: Allegiance)
129	house-tyrell-of-highgarden	3	0	0	0	garlan-tyrell	SWORN_TO	House Tyrell of Highgarden
130	issue	3	0	0	0	garth-the-gardener	PARENT_OF	Issue
131	lady-stonetree	3	0	0	0	harlon-greyjoy	PARENT_OF	Lady Stonetree
132	meereen-300-ac	3	0	0	0	eladon-goldenhair	DIED_AT	Meereen, 300 AC
133	northern-victory	3	0	0	0	battle-at-long-lake	DEFEATS	Northern victory
134	partial-destruction-of-town	3	0	0	0	first-sack-of-maidenpool	DEFEATS	partial destruction of town
135	royal-victory	3	0	0	0	attack-on-old-wyk	DEFEATS	Royal victory
136	two-sons	3	0	0	0	quenton-qoherys	PARENT_OF	Two sons
137	winterfell-299-ac	3	0	0	0	squint	DIED_AT	Winterfell, 299 AC
138	3-sons	2	0	0	0	boremund-harlaw	PARENT_OF	3 sons
139	a-woods-witch	2	0	0	0	harlon-the-hunter	SPOUSE_OF	A woods witch
140	at-least-one-child	2	0	0	0	fern	PARENT_OF	At least one child
141	at-least-one-son-or-daughter	2	0	0	0	duncan-the-tall	PARENT_OF	At least one son or daughter
142	baratheon	2	0	0	0	assault-on-dragonstone	DEFEATS	Baratheon
143	bastard-son	2	0	0	0	hizdahr-zo-loraq	PARENT_OF	Bastard son
144	child	2	0	0	0	osric-umber	PARENT_OF	Child (track_b: Issue)
145	commander-of-the-stalwart-shields	2	0	0	0	mollono-yos-dob	HOLDS_TITLE	Commander of the Stalwart Shields
146	deceased	2	0	0	0	albar-royce	PARENT_OF	Deceased
147	eldest-daughter	2	0	0	0	gerrick-kingsblood	PARENT_OF	Eldest daughter
148	faith-of-rhllor	2	0	0	0	melisandre	SWORN_TO	Faith of R'hllor
149	father-is-doran-martell	2	0	0	0	quentyn-martell	PARENT_OF	(reverse) Father is Doran Martell
150	four-daughters	2	0	0	0	mors-martell	PARENT_OF	Four daughters
151	four-sons	2	0	0	0	shella-whent	PARENT_OF	Four sons
152	greyjoy-victory	2	0	0	0	burning-of-the-lannister-fleet	DEFEATS	Greyjoy victory
153	gwayne-gardener	2	0	0	0	perceon-iii-gardener	SUCCEEDS	Gwayne Gardener
154	hogg-victory	2	0	0	0	burning-of-sows-horn	DEFEATS	Hogg victory
155	house-bolton-of-the-dreadfort	2	0	0	0	ramsay-snow	SWORN_TO	House Bolton of the Dreadfort
156	house-lannister-of-casterly-rock	2	0	0	0	lancel-lannister	SWORN_TO	House Lannister of Casterly Rock
157	house-pendaerys	2	0	0	0	pereno-pendaerys	SWORN_TO	House Pendaerys
158	in-or-before-281-ac	2	0	0	0	armond-connington	DIED_AT	In or before 281 AC (track_b: Died)
159	ironrath	2	0	0	0	house-forrester-telltale	SEAT_OF	Ironrath
160	jhaqos-khalasar	2	0	0	0	jhaqo	SWORN_TO	Jhaqo's khalasar
161	jonoss-first-wife	2	0	0	0	barbara-bracken	PARENT_OF	Jonos's first wife
